id,name,parent_id,color,label_tree_id,aphia_id,catami / CAAB
200483,SM186 Munnopsidae msp1,200314,82e600,1064,118264,27000000
200484,SM187 Isopoda msp2,200314,f23d85,1064,1131,27000000
200485,SM188 Colossendeis proboscidea,200354,d673e6,1064,134669,33000000
200486,SM189 Pycnogonida msp1,200354,82e650,1064,1302,33000000
200487,SM192 Epimeria loricata,200236,e60b6a,1064,1053399,27000000
200488,SM196 Amphipoda msp2,200236,f25c49,1064,1135,27000000
200489,SM198 Pycnogonida msp2,200354,9018f2,1064,1302,33000000
200490,SM200 Pycnogonida msp4,200354,ff4db5,1064,1302,33000000
200491,SM204 Isopoda msp3,200314,66edff,1064,1131,27000000
200492,SM205 Amphipoda msp3,200236,e645bb,1064,1135,27000000
200493,SM209 Boreonymphon msp1,200354,d6e673,1064,134589,33000000
200494,SM212 Munnopsurus giganteus,200314,b1e65c,1064,118636,27000000
200495,SM218 Bathynomus giganteus,200314,a155f2,1064,259252,27000000
200496,SM219 Munnopsidae msp2,200314,49f254,1064,118264,27000000
200497,SM221 Meganyctiphanes msp1,200296,ff7b00,1064,110674,28000901
200498,SM222 Cirripedia msp2,200272,ff7b00,1064,1082,27500901
200499,SM225 Cleippides quadricuspis,200236,ff7b00,1064,102181,27000000
200500,SM228 Pycnogonida msp3,200354,f25562,1064,1302,33000000
200501,SM229 Eumalacostraca msp1,200294,ff7b00,1064,1086,28000901
200502,SM231 Colossendeis msp1,200354,79f2a8,1064,134586,33000000
200503,SM232 Pycnogonida msp5,200354,4.55E+09,1064,1302,33000000
200504,SM233 Pycnogonida msp6,200354,3074f2,1064,1302,33000000
200505,SM239 Isopoda msp1,200314,41ff33,1064,1131,27000000
200506,SM240 Eumalacostraca msp2,200294,f23d5e,1064,1086,28000901
200507,SM245 Caprellidae msp1,200236,e879f2,1064,101361,27000000
200508,SM248 Pycnogonida msp8,200354,f22f0c,1064,1302,33000000
200509,SM258 Euphausiacea msp1,200296,f2006d,1064,1128,28000901
200510,SM261 Amphipoda msp1,200236,5caee6,1064,1135,27000000
200511,SM264 Cirripedia msp1,200272,f2996d,1064,1082,27500000
200512,SM316 Delectopecten msp1,200255,51f20c,1064,138318,23199000
200513,SM317 Neopycnodonte zibrowii,200255,d2f230,1064,379789,23199000
200514,SM318 Bivalvia msp2,200255,a26df2,1064,105,23199000
200515,SM319 Pectinidae msp1,200255,0be6db,1064,213,23199000
200516,SM320 Acesta excavata,200255,6f59ff,1064,140232,23199000
200517,SM321 Pseudamussium msp1,200255,85e650,1064,138325,23199000
200518,SM322 Bivalvia msp1,200255,80ffc1,1064,105,23199000
200519,SM323 Anomiidae msp1,200255,ffe640,1064,214,23199000
200520,SM324 Atrina msp1,200255,83f26d,1064,138351,23199000
200521,SM325 Brachiopoda,200256,2800f2,1064,1803,19100000
200522,SM326 Brachiopoda,200256,e68722,1064,1803,19100000
200523,SM334 Bryozoa msp2,200259,ca18f2,1064,146142,20000908
200524,SM335 Dendrobeania,200259,26ff3c,1064,110842,20000908
200525,SM336 Cyclostomatida msp2,200259,bbe622,1064,110724,20000908
200526,SM337 Horneridae msp2,200259,e6b800,1064,110808,11229903
200527,SM338 Caberea msp2,200259,3dbff2,1064,110864,20000908
200528,SM339 Cyclostomatida msp1,200259,3d79f2,1064,110724,20000908
200529,SM340 Palmiskenea msp1,200259,7.42E+09,1064,110834,20000902
200530,SM341 Caberea msp1,200259,17e6b9,1064,110864,20000908
200531,SM342 Cyclostomatida,200259,f230c2,1064,110724,20000908
200532,SM343 Bryozoa,200259,55c0f2,1064,146142,20000901
200533,SM344 Bryozoa msp1,200259,6.62E+09,1064,146142,20000908
200534,SM345 Horneridae msp1,200259,ff5996,1064,110808,23650000
200535,SM346 Phidoloporidae,200259,7b17e6,1064,110768,23650000
200536,SM347 Bryozoa,200259,2ee6dc,1064,146142,11229903
200537,SM359 Pachycerianthus msp1,200265,49f251,1064,100783,11164000
200538,SM360 Cerianthidae msp1,200265,f28e6d,1064,100684,11164000
200539,SM361 Cerianthus lloydii,200265,3d97f2,1064,283798,11164000
200540,SM362 Ceriantharia msp1,200265,f218e7,1064,1361,11164000
200541,SM363 Pachycerianthus msp2,200265,ffe180,1064,100783,11164000
200542,SM364 Ceriantheopsis msp1,200265,45c5e6,1064,158280,11164000
200543,SM365 Arachnanthus msp1,200265,f25f49,1064,100779,11164000
200544,SM366 Ceriantheopsis msp2,200265,e67339,1064,158280,11500000
200545,SM367 Pachycerianthus multiplicatus,200265,f25d18,1064,101013,11164000
200546,SM368 Botrucnidifer norvegicus,200265,0cf2b1,1064,289529,11500000
200547,SM393 Pleurobrachia msp1,200281,f24730,1064,106346,25200901
200548,SM415 Gadus morhua,200300,ff0db6,1064,126436,37990083
200549,SM416 Lophiodes beroe,200319,30cff2,1064,278523,37990025
200550,SM417 Synagrops bellus,200230,0cf2bd,1064,159584,11229903
200551,SM418 Bathypterois bigelowi,200250,63ff40,1064,272070,37990025
200552,SM419 Conger oceanicus,200237,0cf2bd,1064,158566,37990083
200553,SM420 Synaphobranchus kaupii,200237,308ef2,1064,126328,37990083
200554,SM421 Gadomus longifilis,200321,26ffde,1064,126471,37990083
200555,SM422 Peristedion antillarum,200342,83f20c,1064,274635,37990083
200556,SM423 Gephyroberyx darwinii,201006,f23db9,1064,126401,37990025
200557,SM424 Gadomus arcuatus,200321,c533ff,1064,126469,37990083
200558,SM425 Benthocometes robustus,200337,f27979,1064,126667,37990083
200559,SM426 Notacanthiformes msp1,200334,0cf2bd,1064,10294,37990025
200560,SM427 Etelis oculatus,200295,ecff73,1064,159789,11229903
200561,SM428 Coryphaenoides,200321,26ffde,1064,125748,37990025
200562,SM429 Conger esculentus,200237,ff9466,1064,271742,37990083
200563,SM430 Ilyophis brunneus,200237,eff249,1064,126326,37990025
200564,SM431 Epigonus occidentalis,200230,14f20c,1064,159704,37990083
200565,SM432 Coryphaenoides rudis,200321,5c81e6,1064,272350,37990083
200566,SM433 Polyacanthonotus merretti,200334,ff265c,1064,158561,37990083
200567,SM434 Coryphaenoides mexicanus,200321,8ce617,1064,272340,37990083
200568,SM435 Chascanopsetta danae,200345,50e6b6,1064,1525321,37990025
200569,SM436 Gaidropsarus msp1,200320,cb59ff,1064,125743,37990083
200570,SM437 Coelorinchus occa,200321,f2181f,1064,280323,11229903
200571,SM438 Actinopterygii msp9,200232,8df261,1064,10194,37990083
200572,SM439 Antimora rostrata,200326,f20061,1064,126486,37990083
200573,SM440 Trachyscorpia cristulata,200342,50afe6,1064,127256,37990025
200574,SM441 Trachichthyidae msp1,201006,59afff,1064,125459,37990083
200575,SM442 Maurolicus muelleri,201003,50e639,1064,127312,37990083
200576,SM443 Synaphobranchus oregoni,200237,ff5993,1064,272022,37990083
200577,SM444 Urophycis cirrata,200344,8a6df2,1064,272520,37990083
200578,SM445 Epigonus,200230,394be6,1064,125967,37990028
200579,SM446 Lycodes,200342,f20061,1064,126104,37990083
200580,SM447 Laemonema goodebeanorum,200326,f20061,1064,158980,11164000
200581,SM448 Hydrolagus pallidus,200267,4dff9d,1064,105827,37990083
200582,SM449 Lophius piscatorius,200319,45abe6,1064,126555,37990083
200583,SM450 Bathypterois grallator,200250,9873ff,1064,126343,37990083
200584,SM451 Zoarcidae msp1,200342,7859ff,1064,125575,37990083
200585,SM452 Chaunax suttkusi,200319,fff019,1064,126540,37990083
200586,SM453 Micromesistius poutassou,200300,ff0db6,1064,126439,37990025
200587,SM454 Chaunax,200319,ed55f2,1064,125796,37990083
200588,SM455 Ipnops murrayi,200250,9018f2,1064,158866,37990028
200589,SM456 Aldrovandia gracilis,200334,73a6ff,1064,157880,37990025
200590,SM457 Macrouridae msp2,200321,497cf2,1064,125471,11229903
200591,SM458 Harriotta raleighana,200267,18f2e4,1064,105829,37990083
200592,SM459 Actinopterygii msp6,200232,79f0f2,1064,10194,37990083
200593,SM460 Paraliparis,200342,c973ff,1064,126161,37990083
200594,SM461 Diplacanthopoma,200337,04e600,1064,158993,37990083
200595,SM462 Bathyclupea schroederi,200230,39e6b5,1064,276307,37990083
200596,SM463 Acanthonus armatus,200337,e60b29,1064,158998,37990083
200597,SM464 Argentinia msp1,200246,79bef2,1064,125885,37990083
200598,SM465 Bathypterois viridensis,200250,49a9f2,1064,272077,37990083
200599,SM466 Liparidae msp1,200342,55ff00,1064,234519,37990083
200600,SM467 Coryphaenoides armatus,200321,4dff79,1064,158952,11164000
200601,SM468 Pollachius virens,200300,ff0db6,1064,126441,37990025
200602,SM469 Actinopterygii msp3,200232,0cf2bd,1064,10194,37990083
200603,SM470 Actinopterygii msp10,200232,f20014,1064,10194,37990083
200604,SM471 Stomias msp1,201003,d4f20c,1064,126220,37990083
200605,SM472 Coelorinchus caelorhincus,200321,f2bd0c,1064,398381,37990083
200606,SM473 Macrouridae msp1,200321,f2bb61,1064,125471,37990083
200607,SM474 Lycodonus flagellicauda,200342,e161f2,1064,127119,37990083
200608,SM475 Nezumia aequalis,200321,e8f224,1064,126473,37990083
200609,SM476 Cataetyx laticeps,200337,7f0cf2,1064,126657,37990083
200610,SM477 Lycodes frigidus,200342,f26f61,1064,127105,11229901
200611,SM478 Macrourus berglax,200321,26ffde,1064,126472,37990083
200612,SM479 Lycodes esmarkii,200342,f2ae24,1064,127103,37990083
200613,SM480 Gaidropsarus argentatus,200320,cb59ff,1064,126451,37990083
200614,SM481 Molva msp1,200320,cb59ff,1064,125744,37990083
200615,SM482 Sebastes msp1,200342,73ffa6,1064,126175,37990083
200616,SM483 Zoarcidae msp2,200342,e6a067,1064,125575,37990083
200617,SM484 Synagrops msp1,200230,55f25d,1064,159583,37990025
200618,SM485 Lepidorhombus boscii,200345,5b3df2,1064,127145,37990083
200619,SM486 Trachyrincus murrayi,200321,55d5f2,1064,126481,37990083
200620,SM487 Polyacanthonotus rissoanus,200334,18f252,1064,126645,11229901
200621,SM488 Coelorinchus labiatus,200321,d0f255,1064,280299,37990083
200622,SM489 Coryphaenoides guentheri,200321,ff596d,1064,158958,37990083
200623,SM490 Hoplostethus atlanticus,201006,1832f2,1064,126402,37990083
200624,SM491 Argentina striata,200246,e8f224,1064,158718,37990083
